id,user_id,amount,transaction_type,reference_id,reference_type,status,remark,created_at,updated_at
4596049,48167,5.0,1,4283844,cash_point,1,Successful CQWSKST##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:35,2026-01-01T03:10:35
4596050,68578,20.0,1,4283845,cash_point,1,Successful EOQOSUG##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:36,2026-01-01T03:10:36
4596051,48167,5.0,1,4283846,cash_point,1,Successful EOQOSUG##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:36,2026-01-01T03:10:36
4596052,68578,20.0,1,4283847,cash_point,1,Successful UXDTOLK##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:36,2026-01-01T03:10:36
4596053,48167,5.0,1,4283848,cash_point,1,Successful UXDTOLK##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:36,2026-01-01T03:10:36
4596054,68578,20.0,1,4283849,cash_point,1,Successful IXXVYPE##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:37,2026-01-01T03:10:37
4596055,48167,5.0,1,4283850,cash_point,1,Successful IXXVYPE##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:37,2026-01-01T03:10:37
4596056,68578,20.0,1,4283851,cash_point,1,Successful GFWVXZW##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:37,2026-01-01T03:10:37
4596057,48167,5.0,1,4283852,cash_point,1,Successful GFWVXZW##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:37,2026-01-01T03:10:37
4596058,68578,20.0,1,4283853,cash_point,1,Successful EOOXASH##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:38,2026-01-01T03:10:38
4596059,48167,5.0,1,4283854,cash_point,1,Successful EOOXASH##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:38,2026-01-01T03:10:38
4596060,68578,20.0,1,4283855,cash_point,1,Successful AJBYRWJ##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:38,2026-01-01T03:10:38
4596061,48167,5.0,1,4283856,cash_point,1,Successful AJBYRWJ##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:38,2026-01-01T03:10:38
4596062,68578,20.0,1,4283857,cash_point,1,Successful MYNVRCO##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:39,2026-01-01T03:10:39
4596063,48167,5.0,1,4283858,cash_point,1,Successful MYNVRCO##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:39,2026-01-01T03:10:39
4596064,68578,20.0,1,4283859,cash_point,1,Successful WVJQJHO##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:39,2026-01-01T03:10:39
4596065,48167,5.0,1,4283860,cash_point,1,Successful WVJQJHO##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:40,2026-01-01T03:10:40
4596066,68578,20.0,1,4283861,cash_point,1,Successful GSZSSBZ##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:40,2026-01-01T03:10:40
4596067,48167,5.0,1,4283862,cash_point,1,Successful GSZSSBZ##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:40,2026-01-01T03:10:40
4596068,68578,20.0,1,4283863,cash_point,1,Successful EOUAJHI##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:41,2026-01-01T03:10:41
4596069,48167,5.0,1,4283864,cash_point,1,Successful EOUAJHI##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:41,2026-01-01T03:10:41
4596070,68578,20.0,1,4283865,cash_point,1,Successful RABPXJI##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:41,2026-01-01T03:10:41
4596071,48167,5.0,1,4283866,cash_point,1,Successful RABPXJI##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:41,2026-01-01T03:10:41
